taxa1	taxa2	rhoCut
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia	-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia	-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Latescibacterota;Latescibacteria	-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Nitrospirota;4-29-1	-1
Bacteria;Bacteria;Actinobacteriota;MB-A2-108	Bacteria;Bacteria;Patescibacteria;Berkelbacteria	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Chloroflexi;AD3	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Latescibacterota;Latescibacteria	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Myxococcota;Myxococcia	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Nitrospirota;4-29-1	-1
Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	Bacteria;Bacteria;Planctomycetota;OM190	-1
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia	Archaea;Archaea;Halobacterota;Methanosarcinia	-1
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia	Bacteria;Bacteria;Bacteroidota;Kryptonia	-1
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia	Bacteria;Bacteria;Elusimicrobiota;Lineage IIa	-1
Bacteria;Bacteria;Armatimonadota;Armatimonadia	Bacteria;Bacteria;Actinobacteriota;Coriobacteriia	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Archaea;Archaea;Crenarchaeota;Nitrososphaeria	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Acidobacteriota;Subgroup 25	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Actinobacteriota;Actinobacteria	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Actinobacteriota;MB-A2-108	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Cyanobacteria;Sericytochromatia	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Firmicutes;Bacilli	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Firmicutes;Symbiobacteriia	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Myxococcota;bacteriap25	-1
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia	-1
Bacteria;Bacteria;Bacteroidota;Kapabacteria	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Bacteroidota;Kapabacteria	Bacteria;Bacteria;Deinococcota;Deinococci	-1
Bacteria;Bacteria;Bacteroidota;Kapabacteria	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Bdellovibrionota;Oligoflexia	Bacteria;Bacteria;Hydrogenedentes;Hydrogenedentia	-1
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Acidobacteriota;FFCH5909	-1
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia	-1
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Nitrospirota;Nitrospiria	-1
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Planctomycetota;Pla3 lineage	-1
Bacteria;Bacteria;Chloroflexi;Anaerolineae	Bacteria;Bacteria;Bacteroidota;Ignavibacteria	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Acidobacteriota;Subgroup 5	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Chloroflexi;AD3	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Chloroflexi;KD4-96	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Chloroflexi;Ktedonobacteria	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia	-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Dependentiae;Babeliae	-1
