taxa1	taxa2
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Firmicutes;Symbiobacteriia
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Myxococcota;bacteriap25
Bacteria;Bacteria;Bacteroidota;Bacteroidia	Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia
Bacteria;Bacteria;Bacteroidota;Kapabacteria	Bacteria;Bacteria;Chloroflexi;SHA-26
Bacteria;Bacteria;Bacteroidota;Kapabacteria	Bacteria;Bacteria;Deinococcota;Deinococci
Bacteria;Bacteria;Bacteroidota;Kapabacteria	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group
Bacteria;Bacteria;Bdellovibrionota;Oligoflexia	Bacteria;Bacteria;Hydrogenedentes;Hydrogenedentia
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Acidobacteriota;FFCH5909
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Chloroflexi;SHA-26
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Nitrospirota;Nitrospiria
Bacteria;Bacteria;Chloroflexi;AD3	Bacteria;Bacteria;Planctomycetota;Pla3 lineage
Bacteria;Bacteria;Chloroflexi;Anaerolineae	Bacteria;Bacteria;Bacteroidota;Ignavibacteria
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Acidobacteriota;Acidobacteriae
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Acidobacteriota;Subgroup 5
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Chloroflexi;AD3
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Chloroflexi;KD4-96
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Chloroflexi;Ktedonobacteria
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Cyanobacteria;Vampirivibrionia
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Dependentiae;Babeliae
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Myxococcota;Myxococcia
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Nitrospirota;4-29-1
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Planctomycetota;OM190
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Planctomycetota;Phycisphaerae
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria
Bacteria;Bacteria;Chloroflexi;Chloroflexia	Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae
Bacteria;Bacteria;Chloroflexi;KD4-96	Archaea;Archaea;Thermoplasmatota;Thermoplasmata
Bacteria;Bacteria;Chloroflexi;KD4-96	Bacteria;Bacteria;Acidobacteriota;Blastocatellia
Bacteria;Bacteria;Chloroflexi;KD4-96	Bacteria;Bacteria;Acidobacteriota;FFCH5909
